ID26,Farid,Zoubir,Alger,Alger Centre,zoubirfarid@gmail.com,VqRzE749,05 51 02 48 37,Neurologist,M,https://maps.app.goo.gl/Alger-Rouïba-Sarah
ID27,Lila,Meghraoui,Alger,Bab El Oued,meghraouilila@gmail.com,AsXyP910,07 92 55 11 04,Gastroenterology,F,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Oran-Arzew-Sofiane
ID28,Malik,Haddad,Alger,Hussein Dey,haddadmalik@gmail.com,GtJkL283,06 44 88 23 59,Ophthalmologist,M,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Oran-EsSenia-Amel
ID29,Amira,Chouiter,Alger,Bir Mourad Raïs,chouiteramira@gmail.com,DnQbV601,05 20 73 94 18,Cardiology,F,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Alger-Cheraga-Salim
ID30,Khaled,Belkacem,Alger,El Harrach,belkacemkhaled@gmail.com,BwSfC332,07 70 61 52 93,Dentist,M,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Alger-DarElBeida-Faiza
ID31,Samia,Kerrouche,Alger,Baraki,kerrouchesamia@gmail.com,MjTkG847,06 93 40 17 65,General Practitioner,F,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Boumerdes-Dellys-Yacine
ID32,Rami,Abdelaziz,Alger,Oued Smar,abdelazizrami@gmail.com,FzLcO516,05 55 28 91 70,Pediatrician,M,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Boumerdes-BordjMenai-Meriem
ID33,Nawal,Bendali,Alger,Birkhadem,bendarinawal@gmail.com,HxVyR098,07 81 35 69 22,Gynecologist,F,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Tlemcen-Tlemcen-Nabil
ID34,Yassine,Ghezali,Alger,Dar El Beïda,ghezaliyassine@gmail.com,PlQxW463,06 18 77 03 45,Orthopedist,M,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Tlemcen-Chetouane-Chahinez
ID35,Warda,Hamdi,Alger,Rouiba,hamdiwarda@gmail.com,TkNlM125,05 94 62 80 71,Dermatologist,F,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Alger-Birkhadem-Samira
ID36,Mounir,Taleb,Alger,Reghaïa,taleb mounir@gmail.com,SpBzJ734,07 77 19 43 06,Neurologist,M,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Oran-BirElDjir-Kamel
ID37,Sonia,Lounis,Alger,Aïn Taya,lounissonia@gmail.com,QjCxH957,06 32 50 88 14,Gastroenterology,F,https://www.google.com/search?q=https://maps.app.goo.gl/Alger-Rouiba-Sarah
ID38,Karim,Ziani,Alger,Kouba,zianikarim@gmail.com,LvTrK628,05 60 97 12 33,Ophthalmologist,M,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Oran-Oran-Hakim
ID39,Fella,Harrat,Alger,Mohammadia,harratfella@gmail.com,CwYtD882,07 90 26 47 51,Cardiology,F,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Boumerdes-Boumerdes-Lina
ID40,Hocine,Mekki,Alger,Bordj El Kiffan,mekkihocine@gmail.com,RmPuN396,06 11 49 70 85,Dentist,M,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Tlemcen-Hennaya-Mourad
ID41,Leila,Mansour,Alger,Draria,mansourleila@gmail.com,AfGeS147,05 88 33 09 20,General Practitioner,F,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Alger-Zeralda-Rima
ID42,Fahem,Slimani,Alger,Bologhine,slimanifahem@gmail.com,BqTrX558,07 74 65 21 03,Pediatrician,M,https://maps.app.goo.gl/Alger-DarElBeida-Faiza1
ID43,Wissal,Dahmani,Alger,Hydra,dahmaniwissal@gmail.com,CvWmO729,06 95 10 34 67,Gynecologist,F,https://maps.app.goo.gl/Alger-DarElBeida-Faiza2
ID44,Tarik,Bouchama,Alger,Bab Azzouar,bouchamatarek@gmail.com,DxSyL941,05 30 84 57 12,Orthopedist,M,https://maps.app.goo.gl/Alger-DarElBeida-Faiza3
ID45,Hinda,Aït Ali,Alger,Sidi Moussa,aitalihinda@gmail.com,EzTrM273,07 62 01 98 46,Dermatologist,F,https://maps.app.goo.gl/Alger-DarElBeida-Faiza4
ID46,Aziz,Khelifa,Alger,Zéralda,khelifaaziz@gmail.com,FjUxC085,06 29 45 78 13,Neurologist,M,https://maps.app.goo.gl/Alger-DarElBeida-Faiza5
ID47,Imene,Saadi,Alger,Baba Hassen,saadiimene@gmail.com,GmPyV416,05 58 76 11 94,Gastroenterology,F,https://maps.app.goo.gl/Alger-DarElBeida-Faiza6
ID48,Rachid,Kouadri,Alger,Staouéli,kouadrirachid@gmail.com,HnRzB537,07 98 21 34 68,Ophthalmologist,M,https://maps.app.goo.gl/Alger-DarElBeida-Faiza7
ID49,Chahra,Hafiz,Alger,Mahelma,hafizchahra@gmail.com,JqWxA969,06 72 39 00 55,Cardiology,F,https://maps.app.goo.gl/Alger-DarElBeida-Faiza8
ID50,Abdelkader,Tiziri,Alger,Tessala El Merdja,tiziriabdelkader@gmail.com,KyLmS301,05 53 17 62 89,Dentist,M,https://maps.app.goo.gl/Alger-DarElBeida-Faiza9
ID51,Nesrine,Douadi,Alger,Ouled Chebel,douadinesrine@gmail.com,LzNpR722,07 80 54 99 11,General Practitioner,F,https://maps.app.goo.gl/Boumerdes-Dellys-Yacine0
ID52,Youcef,Boussouf,Alger,Rahmania,boussoufyounes@gmail.com,MxOtQ054,06 21 98 33 47,Pediatrician,M,https://maps.app.goo.gl/Boumerdes-Dellys-Yacine1
ID53,Fatima,Zohra,Alger,Souidania,zohrafatima@gmail.com,OyPxU615,05 64 07 20 58,Gynecologist,F,https://maps.app.goo.gl/Boumerdes-Dellys-Yacine2
ID54,Sofiane,Boudiaf,Alger,Chéraga,boudiafsofiane@gmail.com,PqRyW936,07 78 41 53 79,Orthopedist,M,https://maps.app.goo.gl/Boumerdes-Dellys-Yacine3
